Max Reward,Max Query Reward,Turns Taken,Max Turns Allowed,Hardness,Correct
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
0.6068702290076335,0.8108108108108109,3,3,medium,False
1.0,1.0,1,3,easy,True
0.4011627906976744,0.7941176470588235,3,3,medium,False
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,2,3,easy,True
1.0,1.0,2,3,medium,True
1.0,1.0,2,3,easy,True
1.0,1.0,2,3,medium,True
1.0,1.0,2,3,easy,True
1.0,1.0,2,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,0.6923076923076923,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,2,3,hard,True
0.0,0.8658536585365854,3,3,hard,False
1.0,0.9152542372881356,2,3,hard,True
0.7604166666666666,0.9,3,3,hard,False
0.0,1.0,3,3,hard,False
1.0,0.9882352941176471,1,3,hard,True
1.0,1.0,2,3,hard,True
